Token,Item Name,Variation Name,Reporting Category,Description,SKU,Price
,Fall Vibes,Regular,Lit Teas,"metabolism booster tea lemon, B1 B12 B6 Vitamin C tablet, Immunity boost, Aloe for digestion",,8.75
,Let it Snow,Regular,Lit Teas,"metabolism booster tea lemon, B1 B12 B6 Vitamin C tablet, Immunity boost, Aloe for digestion",,8.75
,Liftoff orange stick,Regular,Lit Teas,B vitamins,,3.00
,Holiday Cheer,Regular,Lit Teas,"Orange LO, lemon tea, NRG, Cherry Pinapple",,8.75
,Christmas Tree,Regular,Lit Teas,"Raspberry and blue raspberry flavoring, aloe for digestion, B1 B6 B12 Vitamin C tablet, energy and metabolism booster tea",,8.75
,Jingle Juice,Regular,Lit Teas,"Pom LO, lemon tea, aloe, NRG, cherry, and passionfruit",,8.75
,Orange Ginger lit Tea,Regular,Lit Teas,"Ginger, tea, orange, lift off, NRG, aloe, orange pineapple",,8.75
,Chai tea packet,Regular,Lit Teas,To-go Individual tea packet,,1.85
,Color Purple,Regular,Lit Teas,"Vitamin B1, B6, metabolism booster, aloe",,8.75
,Berry Single,Regular,Lit Teas,"Pomagranate LO, NRG, ALOE, Collagen, Pinacolada Strawberry",,8.75
,Mambo -Mardi Gras,Regular,Lit Teas,"Pomegranate LO, lemon tea, aloe, nrg, (Rainbow, grape, blue blast)",,8.75
,Fat Tuesday - Mardi Gras,Regular,Lit Teas,"Lime LO, Lemon tea, aloe NRG tea (strawberry, grape, blue bast)",,8.75
,Beaded Tea,Regular,Lit Teas,"Pomegranate LO, Beverage mix , aloe",,8.75
,Teacher Tea Blue Pina,Regular,Lit Teas,,,3.65
,Cherry Orange lit tea,Regular,Lit Teas,,,8.75
,Nerds Candy,Regular,Lit Teas,Lit tea,,8.75
,Teacher Tea Arnold Palmer,Regular,Lit Teas,,,3.65
,Teacher Tea Watacolada,Regular,Lit Teas,,,3.65
,Cherry Blow pop,Regular,Lit Teas,"Raspberry, Pom lift off, watermelon, cherry, aloe",,8.75
,Thor,Regular,Lit Teas,"Spark Pineapple, rainbow candy, aloe, orange pineapple flavor",,8.75
,Green Goddess -Peach,Regular,Lit Teas,15 g Peach Mango beverage mix plus serving greens,,8.75
,Green Goddess- Berry,Regular,Lit Teas,15g wild berry protein plus a scoop of our greens,,8.75
,Orange Punch,Regular,Lit Teas,"Boost metabolism, hydration refresher",,8.75
,Liftoff®: Tropical Fruit Force Stick,Regular,Lit Teas,B vitamins,,3.00
,Strawberry Sunrise Gourmet,Regular,Shakes & Smoothies,24g protein,,9.98
,Beach Bum,Regular,Shakes & Smoothies,24g protein,,9.98
,Cotton candy Cloud,Regular,Shakes & Smoothies,24g protein,,9.98
,Lemon Blueberry Icebox,Regular,Shakes & Smoothies,24g protein,,9.98
,Mint Chocolate Oreo March Menu,Regular,Shakes & Smoothies,"32 oz 24gram protein, 5g fiber",,9.68
,Lucky Charms March Menu,Regular,Shakes & Smoothies,"32 oz 24gram protein, 5g fiber",,9.68
,Kiss Cookie,Regular,Shakes & Smoothies,"32oz, 24g Protein",,9.67
,Cinnamon Roll Gourmet,Regular,Shakes & Smoothies,"24g protein , 32oz cup 230 calories",,9.68
,Maple Pecan Latte 32oz,Regular,Shakes & Smoothies,24g protein,,9.68
,Peanutbutter Egg- Gourment,Regular,Shakes & Smoothies,24g protein,,9.68
,Lemon Pound Cake Gourmet,Regular,Shakes & Smoothies,"16g protein, 190 calories 20 oz cup",,9.68
,Number  Mr.Kerry,Regular,Shakes & Smoothies,"33g protein, 5g fiber, 21 vitamins & minerals, L-glutamin",,9.68
,Pralines Pecan -Mardi Grass,Regular,Shakes & Smoothies,"16g protein, 190 calories 20 oz cup",,9.68
,Pralines N Cream,Regular,Shakes & Smoothies,"16g protein, 190 calories 20 oz cup",,7.50
,Banana Foster -Mardi Gras,Regular,Shakes & Smoothies,"24g protein , 20oz cup 240 calories",,9.68
,Guy,Regular,Shakes & Smoothies,,,0.00
,Praline Latte 1,Regular,Shakes & Smoothies,24g protein 32 oz cup,,9.68
,Peppermint Mocha Coffee  or hot 32oz,Regular,Shakes & Smoothies,24g protein,,9.68
,Frozen Hot Chocolate Gourmet,Regular,Shakes & Smoothies,"24g protein , 32oz cup, topped with chocolate & marshmellow",,9.68
,King Cake -Mardi Gras,Regular,Shakes & Smoothies,24g protein,,9.68
,Apple Pie Smoothie Gourmet,Regular,Shakes & Smoothies,"24g Protein, 10g fiber, 21 vitamin and minerals",,9.68
,Vegetarian Brownie Batter Smoothie,Regular,Shakes & Smoothies,"24g chick pea & rice protein, 5g fiber, 21 vitamin and minerals",,8.50
,Vegetarian Cinnamon Roll Smoothie,Regular,Shakes & Smoothies,"24g chick pea & rice protein, 5g fiber, 21 vitamin and minerals",,8.50
,Vegetarian Vanilla Smoothie,Regular,Shakes & Smoothies,"24g chick pea & rice protein, 5g fiber, 21 vitamin and minerals",,8.00
,Waffle -Dulce de Leche,Regular,Shakes & Smoothies,"topped with granola, banana, and sugar free Caramel",,11.78
,Vegetarian Apple Pie,Regular,Shakes & Smoothies,24g protein,,8.00
,Vegetarian Strawberry Shake,Regular,Shakes & Smoothies,"24g chick pea & rice protein, 5g fiber, 21 vitamin and minerals",,8.00
,Protein Oatmeal-Banana,Regular,Shakes & Smoothies,"Calories 325, protein 15.9g",,5.95
,Protein Oatmeal-Pralines,Regular,Shakes & Smoothies,"Calories 325, protein 15.9g",,6.75
,Pumpkin Spice Latte  or hot 32oz,Regular,Shakes & Smoothies,24g protein,,9.68
,Waffle -Chocolate,Regular,Shakes & Smoothies,"topped with granola, banana, and sugar free Caramel",,11.78
,Waffle  -Banana,Regular,Shakes & Smoothies,"topped with granola, banana, and sugar free Caramel",,11.78
,Waffle - Pine apple Mango,Regular,Shakes & Smoothies,"topped with granola, banana, and sugar free Caramel",,11.78
,Salted Caramel Frappe,Regular,★ Most Popular,24g protein,,9.68
,Chocolate Covered Banana,Regular,Shakes & Smoothies,"33g protein, 5g fiber, 21 vitamins & minerals, L-glutamin",,9.68
,Coffee Crusted Praline N Cream,Regular,Shakes & Smoothies,30g protein,,9.68
,Mango Tango,Regular,Shakes & Smoothies,24g protein,,9.68
,Fried Ice cream   Gourmet,Regular,★ Most Popular,24g protein,,9.68
,Fruity Force Gourmet,Regular,Shakes & Smoothies,"24g Protein, 5g fiber, 21 vitamin & Minerals, B6 & B12",,9.68
,Keto Berry Smoothie,Regular,Shakes & Smoothies,"30g protein, 8carbs",,9.68
,Bougie Shake,Regular,★ Most Popular,24g protein,,9.68
,Fruity Pebbles Gourmet,Regular,★ Most Popular,24g protein,,9.68
,Coco-Pebbles,Regular,Shakes & Smoothies,24g protein,,9.68
,S'mores,Regular,Shakes & Smoothies,24g protein,,9.68
,Keto Peach Mango,Regular,Shakes & Smoothies,"30g protein, 8carbs",,9.68
,Texas Sunset Gourmet,Regular,Shakes & Smoothies,30g protein,,9.68
,Limarita Gourmet,Regular,Shakes & Smoothies,"24g Protein, 5g fiber, 21 vitamin & Minerals, B6 & B12",,9.68
,Push Pop Gourmet,Regular,Shakes & Smoothies,"24g Protein, 5g fiber, 21 vitamin & Minerals, B6 & B12",,9.68
,Double Chocolate Smoothie,Regular,Shakes & Smoothies,"33g protein, 5g fiber, 21 vitamins & minerals, L-glutamin",,9.68
